miRNA	miRBase	small melocule	FDA	DB	CID	Detection method 	Species	Condition	PMID	Year	Reference	Support	Expression pattern of miRNA	
let-7	MIMAT0000062	Aidi injection 	NULL	NULL	NULL	Microarray	Homo sapiens 	human breast cancer cells	21563499	2011	Aidi injection alters the expression profiles of microRNAs in human breast cancer cells.	Among them, 45 miRNAs were upregulated and 55 miRNAs were down-regulated significantly (P<0.05), miRNAs down-regulated being more than up-regulated for ADI treatment.	up-regulated	
let-7	NULL	7,12-Dimethylbenz(?)anthracene (DMBA)	NULL	NULL	6001	Quantitative real-time PCR	Mus musculus	lung/kidney/liver/spleen	22210724	2012	DMBA induces deregulation of miRNA expression of let-7, miR-21 and miR-146a in CBA/CA mice.	Expression levels of miR-21, miR-146a and let-7a were significantly higher in the vital organs of the mice 24 hours after DMBA exposure compared to those of the controls. 	up-regulated	
let-7*	NULL	Lenalidomide	approved	DB00480	216326	Quantitative real-time PCR	Homo sapiens	peripheral blood CD14+ monocytes	25287904	2014	Genome-wide miRNA profiling in myelodysplastic syndrome with del(5q) treated with lenalidomide	Of these,6 miRNAs were upregulated (miR-34a*, miR-34a, miR-451, HS_241.1, miR-196b, and miR-98) and 14 were downregulated (eg, miR-449a, miR-193a-3p, miR-300, miR-378*, let-7i*, and miR-15a*) in patients vs controls.	down-regulated	
let-7a	MIMAT0000062	Caudatin	NULL	NULL	21633059	Quantitative real-time PCR	Homo sapiens	gastric carcinoma cell lines	23708208	2013	Caudatin induces cell apoptosis in gastric cancer cells through modulation of Wnt/?-catenin signaling.	caudatin downregulated the expression of oncomir miR?372 and miR?21, and upregulated tumor suppressor let?7a miRNA expression	up-regualted	
let-7a	MIMAT0000062	XMD8-92	NULL	NULL	46843772	Microarray	Homo sapiens	pancreatic ductal adenocarcinoma cell	24880079	2014	XMD8-92 inhibits pancreatic tumor xenograft growth via a DCLK1-dependent mechanism	we showed that XMD8-92 inhibits AsPC-1 cancer cell proliferation and tumor xenograft growth. XMD8-92 treated tumors demonstrated significant downregulation of DCLK1 and several of its downstream targets (including c-MYC, KRAS, NOTCH1, ZEB1, ZEB2, SNAIL, SLUG, OCT4, SOX2, NANOG, KLF4, LIN28, VEGFR1, and VEGFR2) via upregulation of tumor suppressor miRNAs let-7a, miR-144, miR-200a-c, and miR-143/145	up-regulated	
let-7a	MIMAT0000062	Hydroxamic acid HDACi LAQ824	NULL	NULL	NULL	Microarray	Homo sapiens 	breast cancer cell line SKBr3	16452179	2006	Rapid alteration of microRNA levels by histone deacetylase inhibition.	As shown in the Fig. 1B heat map, following LAQ824 treatment, the expression level of many SKBr3 miRNAs were altered with 22 miRNAs down-regulated and 5 miRNAs up-regulated.	down-regulated	
let-7a	MIMAT0000062	Hydroxamic acid HDACi LAQ824	NULL	NULL	NULL	Northern blot	Homo sapiens 	breast cancer cell line SKBr3	16452180	2006	Rapid alteration of microRNA levels by histone deacetylase inhibition.	As shown in Fig. 1C, Northern blots showing the up-regulation of miR-320 and the down-regulation of let7a and miR-27a following LAQ824 treatment confirmed the miRNA microarray result for these miRNAs. 	down-regulated	
let-7a	MIMAT0000062	Trichostatin A (TSA)	NULL	NULL	444732	Microarray	Homo sapiens 	human pancreatic cancer cell line BxPC-3	19112422	2009	Effect of trichostatin a on viability and microRNA expression in human pancreatic cancer cell line BxPC-3.	In our experiment, using miRNA microarray analysis,we found that 6 h treatment of cells with TSA inducedaltered expression of miRNAs: 29 miRNAs includingmiR-21, -181b, -181d, -221, -126, -375, let-7a, and let-7cwere significantly down-regulated and miR-200c, -100,-34a, -146a, and -146b were up-regulated. 	down-regulated	
let-7a	MIMAT0000062	17beta-estradiol (E2)	approved	DB00783	5757	Microarray	Homo sapiens 	MCF-7 breast cancer cells	19528081	2009	Estradiol-regulated microRNAs control estradiol response in breast cancer cells.	To investigate this possibility, we determined microRNA-expression patterns in MCF-7p and MCF-7AKT cells with and without E2 treatment for 4 h. We observed 21 E2-inducible and 7 E2-repressible microRNAs in MCF-7p cells (statistical cutoff P-value <0.05 and fold change >1.5 or <0.7) (Table 1).	up-regulated	
let-7a	MIMAT0000062	Etoposide	approved	DB00773	36462	Microarray	Homo sapiens 	Normal human fibroblasts (AG01522)	19633716	2009	Ionizing radiation-induced oxidative stress alters miRNA expression.	A more extensive analysis also determined that all 17 miRNA species altered by radiation were also altered by either H2O2 or etoposide (Table 1). Several species were altered only by etoposide or H2O2 (Fig. 2).	down-regulated	
let-7a	MIMAT0000062	Etoposide	approved	DB00773	36462	Quantitative real-time PCR	Homo sapiens 	Normal human fibroblasts (AG01522)	19633716	2009	Ionizing radiation-induced oxidative stress alters miRNA expression.	A more extensive analysis also determined that all 17 miRNA species altered by radiation were also altered by either H2O2 or etoposide (Table 1). Several species were altered only by etoposide or H2O2 (Fig. 2).	down-regulated	
let-7a	MIMAT0000062	Polylysine	NULL	NULL	162282	Quantitative real-time PCR	Homo sapiens 	293T(FLAG AGO2) cells	20529860	2010	Identification of small molecules that suppress microRNA function and reverse tumorigenesis.	We selected six cellular miRNAs, miR-16, -17, -21, -30a, -196a, and let-7a, and asked how PLL or TPF treatment would affect their expression(Fig. 4).	down-regulated	
